author_id,name,institution_id,institution_name,year_start,year_end,orcid,closest_hospital,hospital_lat,hospital_lon,distance_km,date_of_birth,date_of_death,ORCID,loc_id,affiliation,q_id,total_works,total_citations,inst_type,appoint_len,appt_dropped_by_inst_type,appoint_len_w,winsorized_appointment,perfect_overlap,partial_overlap_kept,partial_overlap_author
https://openalex.org/A5058957254,Lawrence Schwartz,https://openalex.org/I921990950,University of Colorado Denver,2013,2022,0000-0003-2960-9365,DENVER HEALTH MEDICAL CENTER,39.728201143,-104.990975106,1.3304606647663948,,,0000-0003-2960-9365,,,Q94454955,51,2347,education,9,0,9,False,1,1,0
https://openalex.org/A5058957254,Lawrence Schwartz,https://openalex.org/I4210096275,Children's Hospital Colorado,2013,2022,0000-0003-2960-9365,CHILDREN'S HOSPITAL COLORADO,39.742180067,-104.834457589,0.1858604205294406,,,0000-0003-2960-9365,,,Q94454955,51,2347,healthcare,9,0,9,False,1,1,0
https://openalex.org/A5109862987,Eric O'n. Fisher,https://openalex.org/I149919469,California Polytechnic State University,2007,2017,,FRENCH HOSPITAL MEDICAL CENTER,35.2779315060001,-120.650641412,0.9753518264654504,1924-07-28T00:00:00Z,1996-06-19T00:00:00Z,,,,Q5386482,67,1060,education,10,0,10,False,0,1,0
https://openalex.org/A5109862987,Eric O'n. Fisher,https://openalex.org/I52357470,The Ohio State University,1995,2008,,GRANT MEDICAL CENTER,39.9609732750001,-82.991001983,0.6641611863192901,1924-07-28T00:00:00Z,1996-06-19T00:00:00Z,,,,Q5386482,67,1060,education,13,0,13,False,0,1,0
https://openalex.org/A5075312012,Verdi J. DiSesa,https://openalex.org/I1283280774,Brigham and Women's Hospital,1981,1997,,SHRINERS' HOSPITAL FOR CHILDREN,42.3630925480001,-71.066301879,0.7463639796080036,,,,,,,163,5561,healthcare,16,0,16,False,1,1,0
https://openalex.org/A5075312012,Verdi J. DiSesa,https://openalex.org/I136199984,Harvard University,1981,1997,,SPAULDING HOSPITAL FOR CONTINUING MED CARE CAMBRIDGE,42.3753221040001,-71.106943456,0.1122862784625716,,,,,,,163,5561,education,16,0,16,False,1,1,0
https://openalex.org/A5040761076,Nicholas J. Morrissey,https://openalex.org/I78577930,Columbia University,2004,2024,,NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,40.7105167880001,-74.0052978259999,0.4211660176629024,,,,,,,159,4466,education,20,0,20,False,0,1,1
https://openalex.org/A5040761076,Nicholas J. Morrissey,https://openalex.org/I98704320,Icahn School of Medicine at Mount Sinai,2000,2006,,NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,40.7105167880001,-74.0052978259999,0.4212931995566836,,,,,,,159,4466,education,6,0,6,False,0,1,1
https://openalex.org/A5006071957,Joshua S. Schiffman,https://openalex.org/I205783295,Cornell University,2019,2025,0000-0002-1028-1438,CAYUGA MEDICAL CENTER,42.4689850720001,-76.537484161,4.602820788088144,,,0000-0002-6968-7694,,,Q90198980,15,401,education,6,1,6,False,1,1,0
https://openalex.org/A5006071957,Joshua S. Schiffman,https://openalex.org/I4387153466,Weill Cornell Medicine,2019,2025,0000-0002-1028-1438,NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,40.7105167880001,-74.0052978259999,0.4211660176629024,,,0000-0002-6968-7694,,,Q90198980,15,401,education,6,1,6,False,1,1,0
